"date","federal_state","company","arrivals","nights"
"1974-01","W96-2",81,513,2135
"1974-01","W96-2",73,737,3800
"1974-01","W96-2",83,225,1308
"1974-01","W96-2",84,1352,16671
"1974-01","W96-2",60,2334,29839
"1974-01","W96-2",74,10,62
"1974-01","W96-2",998,7,54
"1974-01","W96-2",999,77,324
"1974-01","W96-3",1,2867,11847
"1974-01","W96-3",2,7015,34412
"1974-01","W96-3",3,21147,110194
"1974-01","W96-3",70,139,277
"1974-01","W96-3",81,479,2714
"1974-01","W96-3",73,333,3766
"1974-01","W96-3",71,1309,16685
"1974-01","W96-3",83,656,1117
"1974-01","W96-3",84,898,5906
"1974-01","W96-3",60,4974,31569
"1974-01","W96-3",75,256,8208
"1974-01","W96-3",74,2569,35188
"1974-01","W96-3",998,417,1275
"1974-01","W96-3",999,500,2981
"1974-01","W96-4",1,7827,27386
"1974-01","W96-4",2,11155,37924
"1974-01","W96-4",3,16499,85067
"1974-01","W96-4",70,0,16
"1974-01","W96-4",81,1678,8451
"1974-01","W96-4",73,928,8478
"1974-01","W96-4",71,1796,21152
"1974-01","W96-4",83,539,1764
"1974-01","W96-4",84,941,5880
"1974-01","W96-4",60,4497,34632
"1974-01","W96-4",75,176,6696
"1974-01","W96-4",72,94,1494
"1974-01","W96-4",74,677,7183
"1974-01","W96-4",998,775,5364
"1974-01","W96-4",999,673,4436
"1974-01","W96-5",1,19642,120709
"1974-01","W96-5",2,47065,336212
"1974-01","W96-5",3,48007,335518
"1974-01","W96-5",70,33,615
"1974-01","W96-5",81,4404,27903
"1974-01","W96-5",73,21483,149062
"1974-01","W96-5",71,1439,13862
"1974-01","W96-5",83,671,4267
"1974-01","W96-5",84,1932,19497
"1974-01","W96-5",60,24841,218719
"1974-01","W96-5",72,173,2595
"1974-01","W96-5",74,242,2280
"1974-01","W96-5",998,6721,47062
"1974-01","W96-5",999,5567,40888
"1974-01","W96-6",1,10748,28805
"1974-01","W96-6",2,12962,63903
"1974-01","W96-6",3,34604,202796
"1974-01","W96-6",70,14,112
"1974-01","W96-6",81,3091,17660
"1974-01","W96-6",73,1214,11208
"1974-01","W96-6",71,300,5905
"1974-01","W96-6",83,1762,6204
"1974-01","W96-6",84,2155,17183
"1974-01","W96-6",60,14006,113991
"1974-01","W96-6",75,268,6131
"1974-01","W96-6",72,29,428
"1974-01","W96-6",74,373,4819
"1974-01","W96-6",998,432,4928
"1974-01","W96-6",999,979,6151
"1974-01","W96-7",1,36641,248241
"1974-01","W96-7",2,46789,331714
"1974-01","W96-7",3,117869,951524
"1974-01","W96-7",70,329,10369
"1974-01","W96-7",81,972,6717
"1974-01","W96-7",73,2527,17484
"1974-01","W96-7",71,86,488
"1974-01","W96-7",83,735,6116
"1974-01","W96-7",84,2661,19425
"1974-01","W96-7",60,63756,564329
"1974-01","W96-7",75,364,4010
"1974-01","W96-7",74,126,596
"1974-01","W96-7",998,4528,24095
"1974-01","W96-7",999,993,9364
"1974-01","W96-8",1,13655,101776
"1974-01","W96-8",2,13743,97737
"1974-01","W96-8",3,21352,177379
"1974-01","W96-8",70,589,6153
"1974-01","W96-8",81,1348,8821
"1974-01","W96-8",73,585,6817
"1974-01","W96-8",83,279,1225
"1974-01","W96-8",84,1414,7939
"1974-01","W96-8",60,20545,175077
"1974-01","W96-8",75,126,5524
"1974-01","W96-8",74,107,893
"1974-01","W96-8",998,550,1150
"1974-01","W96-8",999,2551,18578
"1974-01","W96-9",1,25933,66036
"1974-01","W96-9",2,13884,41729
"1974-01","W96-9",3,10127,40111
"1974-01","W96-9",70,39,364
"1974-01","W96-9",81,3190,17514
"1974-01","W96-9",84,99,436
"1974-01","W96-9",75,84,500
"1974-02","W96-1",1,315,2512
"1974-02","W96-1",2,1507,7190
"1974-02","W96-1",3,1297,4506
"1974-02","W96-1",81,358,639
"1974-02","W96-1",71,253,7122
"1974-02","W96-1",84,251,735
"1974-02","W96-1",60,115,667
"1974-02","W96-1",72,110,1751
"1974-02","W96-1",74,215,3669
"1974-02","W96-1",998,39,51
"1974-02","W96-2",1,10638,63458
"1974-02","W96-2",2,8858,48217
"1974-02","W96-2",3,14892,76997
"1974-02","W96-2",70,2,24
"1974-02","W96-2",81,562,2032
"1974-02","W96-2",73,132,486
"1974-02","W96-2",83,339,1758
"1974-02","W96-2",84,2050,18347
"1974-02","W96-2",60,2000,15588
"1974-02","W96-2",74,16,57
"1974-02","W96-2",999,99,437
"1974-02","W96-3",1,3657,13053
"1974-02","W96-3",2,7502,37455
"1974-02","W96-3",3,23539,113224
"1974-02","W96-3",70,239,816
"1974-02","W96-3",81,649,2960
"1974-02","W96-3",73,342,6522
"1974-02","W96-3",71,1170,20309
"1974-02","W96-3",83,713,1296
"1974-02","W96-3",84,1215,7368
"1974-02","W96-3",60,6733,38061
"1974-02","W96-3",75,226,8015
"1974-02","W96-3",74,2880,37595
"1974-02","W96-3",998,313,1178
"1974-02","W96-3",999,656,5605
"1974-02","W96-4",1,9040,31827
"1974-02","W96-4",2,13225,40579
"1974-02","W96-4",3,18295,102877
"1974-02","W96-4",81,2063,9487
"1974-02","W96-4",73,1221,8028
"1974-02","W96-4",71,1680,43725
"1974-02","W96-4",83,919,3358
"1974-02","W96-4",84,1159,5982
"1974-02","W96-4",60,3998,28696
"1974-02","W96-4",75,1,24
"1974-02","W96-4",72,415,7757
"1974-02","W96-4",74,841,8976
"1974-02","W96-4",998,38,412
"1974-02","W96-4",999,810,8925
"1974-02","W96-5",1,21752,126385
"1974-02","W96-5",2,58984,395524
"1974-02","W96-5",3,52800,330893
"1974-02","W96-5",70,72,559
"1974-02","W96-5",81,4360,24107
"1974-02","W96-5",73,12369,84694
"1974-02","W96-5",71,1811,20602
"1974-02","W96-5",83,730,3351
"1974-02","W96-5",84,2708,23079
"1974-02","W96-5",60,29490,193594
"1974-02","W96-5",72,335,3645
"1974-02","W96-5",74,383,3788
"1974-02","W96-5",998,8977,56606
"1974-02","W96-5",999,15490,105307
"1974-02","W96-6",1,11172,32923
"1974-02","W96-6",2,15823,72654
"1974-02","W96-6",3,43471,237149
"1974-02","W96-6",70,77,337
"1974-02","W96-6",81,2747,15445
"1974-02","W96-6",73,691,7744
"1974-02","W96-6",71,266,7423
"1974-02","W96-6",83,1008,5455
"1974-02","W96-6",84,2822,19136
"1974-02","W96-6",60,20491,145015
"1974-02","W96-6",75,231,6096
"1974-02","W96-6",72,37,629
"1974-02","W96-6",74,469,4576
"1974-02","W96-6",998,355,3339
"1974-02","W96-6",999,1623,13146
"1974-02","W96-7",1,42685,283276
"1974-02","W96-7",2,51857,354927
"1974-02","W96-7",3,123919,911897
"1974-02","W96-7",70,352,6191
"1974-02","W96-7",81,1709,7477
"1974-02","W96-7",73,2450,17115
"1974-02","W96-7",71,54,1404
"1974-02","W96-7",83,534,4851
"1974-02","W96-7",84,1547,13259
"1974-02","W96-7",60,60051,449409
"1974-02","W96-7",75,386,4480
"1974-02","W96-7",74,442,3598
"1974-02","W96-7",998,2266,16727
"1974-02","W96-7",999,2525,10839
"1974-02","W96-8",1,14570,93563
"1974-02","W96-8",2,16168,105312
"1974-02","W96-8",3,25343,173085
"1974-02","W96-8",70,516,4192
"1974-02","W96-8",81,1521,7561
"1974-02","W96-8",73,617,5708
"1974-02","W96-8",83,30,70
"1974-02","W96-8",84,1061,5584
"1974-02","W96-8",60,20660,127074
"1974-02","W96-8",75,76,1643
"1974-02","W96-8",74,132,381
"1974-02","W96-8",999,1849,15310
"1974-02","W96-9",1,27246,66783
"1974-02","W96-9",2,12908,38261
"1974-02","W96-9",3,9533,39655
"1974-02","W96-9",70,29,93
"1974-02","W96-9",81,2693,16062
"1974-02","W96-9",84,164,566
"1974-02","W96-9",75,57,473
"1974-03","W96-1",1,355,3739
"1974-03","W96-1",2,1969,9339
"1974-03","W96-1",3,1975,6864
"1974-03","W96-1",81,275,493
"1974-03","W96-1",71,256,8073
"1974-03","W96-1",84,184,563
"1974-03","W96-1",60,223,2044
"1974-03","W96-1",72,131,2003
"1974-03","W96-1",74,206,3950
"1974-03","W96-1",998,22,28
"1974-03","W96-2",1,10335,63251
"1974-03","W96-2",2,7680,44787
"1974-03","W96-2",3,14341,77152
"1974-03","W96-2",70,14,26
"1974-03","W96-2",81,1052,2973
"1974-03","W96-2",73,650,3379
"1974-03","W96-2",83,96,582
"1974-03","W96-2",84,1296,14066
"1974-03","W96-2",60,1836,16993
"1974-03","W96-2",74,81,1171
"1974-03","W96-2",999,66,196
"1974-03","W96-3",1,4260,15565
"1974-03","W96-3",2,9263,42737
"1974-03","W96-3",3,22732,107626
"1974-03","W96-3",70,103,343
"1974-03","W96-3",81,747,3001
"1974-03","W96-3",73,383,5859
"1974-03","W96-3",71,1173,28648
"1974-03","W96-3",83,892,2081
"1974-03","W96-3",84,1365,8116
"1974-03","W96-3",60,4691,33900
"1974-03","W96-3",75,200,9044
"1974-03","W96-3",74,3144,47177
"1974-03","W96-3",998,246,796
"1974-03","W96-3",999,390,3253
