"NUTS1","NUTS2","NUTS3","DISTRICT_CODE","Postal_CODE","Dog.Breed","Anzahl","Ref_Date"
"AT1","AT13","AT113",90200,1020,"Eurasier / Chow-Chow",1,20231201
"AT1","AT13","AT113",90200,1020,"Flat-Coated Retriever",4,20231201
"AT1","AT13","AT113",90200,1020,"Fox Terrier drahthaar / Border Collie",1,20231201
"AT1","AT13","AT113",90200,1020,"Fox Terrier drahthaar / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Fox Terrier glatthaar / Australian Shepherd",1,20231201
"AT1","AT13","AT113",90200,1020,"Franzoesische Bulldogge",73,20231201
"AT1","AT13","AT113",90200,1020,"Franzoesische Bulldogge / Jack Russell Terrier",1,20231201
"AT1","AT13","AT113",90200,1020,"Franzoesische Bulldogge / Kurzhaar Dachshund Normal",1,20231201
"AT1","AT13","AT113",90200,1020,"Franzoesische Bulldogge / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Galgo Espanol",2,20231201
"AT1","AT13","AT113",90200,1020,"Gammel Dansk Hoensehund / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Golden Retriever",49,20231201
"AT1","AT13","AT113",90200,1020,"Golden Retriever / Klein- oder Mittelpudel",1,20231201
"AT1","AT13","AT113",90200,1020,"Golden Retriever / Labradoodle",1,20231201
"AT1","AT13","AT113",90200,1020,"Golden Retriever / Mischling",13,20231201
"AT1","AT13","AT113",90200,1020,"Golden Retriever / Pudel",1,20231201
"AT1","AT13","AT113",90200,1020,"Gordon Setter / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Greyhound / Mischling",1,20231201
"AT1","AT13","AT113",90200,1020,"Groenendael",1,20231201
"AT1","AT13","AT113",90200,1020,"Grosspudel Apricot",6,20231201
"AT1","AT13","AT113",90200,1020,"Grosspudel Apricot / Golden Retriever",1,20231201
"AT1","AT13","AT113",90200,1020,"Grosspudel Braun / Cockerpoo",1,20231201
"AT1","AT13","AT113",90200,1020,"Grossspitz Weiss / Shiba",1,20231201
"AT1","AT13","AT113",90200,1020,"Hannoverscher Schweisshund / Bayrischer Gebirgsschweisshund",1,20231201
"AT1","AT13","AT113",90200,1020,"Havaneser / Bichon frise",1,20231201
"AT1","AT13","AT113",90200,1020,"Havaneser / Malteser",2,20231201
"AT1","AT13","AT113",90200,1020,"Havaneser / Zwergpudel Schwarz",1,20231201
